timestamp (ticks/UTC),temperature (C),humidity (%RH)
60858t,25.32,58.66
timestamp (ticks/UTC),temperature (C),humidity (%RH)
1739944728.984,27.69,44.67
1739944788.976,27.98,44.42
1739944848.964,28.23,44.22
1739944908.953,28.42,44.07
1739944968.941,28.58,43.84
1739945028.933,28.69,43.61
1739945088.921,28.77,43.44
1739945148.910,28.84,43.30
1739945208.898,28.90,43.17
1739945268.890,28.96,43.07
1739945328.878,29.00,42.99
1739945388.867,29.04,42.92
1739945448.855,29.09,42.84
1739945508.847,29.13,42.78
1739945568.835,29.20,42.84
1739945628.824,29.31,42.90
1739945688.812,29.43,42.89
1739945748.804,29.52,42.75
1739945808.792,29.57,42.52
1739945868.781,29.59,42.36
1739945928.769,29.60,42.25
1739945988.761,29.61,42.16
1739946048.750,29.61,42.09
1739946108.738,29.62,42.03
1739946168.726,29.63,41.98
1739946228.718,29.63,41.93
1739946288.707,29.64,41.89
1739946348.695,29.67,41.96
1739946408.683,29.74,42.00
1739946468.671,29.81,42.02
1739946528.664,29.89,41.99
1739946588.652,29.93,41.79
1739946648.640,29.94,41.66
1739946708.628,29.94,41.56
1739946768.621,29.93,41.49
1739946828.609,29.93,41.44
1739946888.597,29.92,41.40
1739946948.585,29.92,41.37
1739947008.578,29.92,41.34
1739947068.566,29.92,41.31
1739947128.554,29.91,41.28
1739947188.550,29.92,41.26
1739947248.535,29.92,41.24
1739947308.527,29.92,41.21
1739947368.511,29.92,41.19
1739947428.507,29.93,41.17
1739947488.492,29.93,41.15
1739947548.484,29.94,41.12
1739947608.468,29.94,41.10
1739947668.464,29.95,41.08
1739947728.449,29.95,41.05
1739947788.441,29.96,41.03
1739947848.425,29.96,41.01
1739947908.421,29.97,40.98
1739947968.406,29.97,40.96
1739948028.394,29.98,40.92
1739948088.382,29.98,40.88
1739948148.371,29.98,40.84
1739948208.363,29.97,40.79
